Girl's x position: Girl's y position: Girl's speed: Bear's x position: Bear's y position: Bear's speed: Telephone booth's x position: Telephone booth's y position: 	X_G	Y_G	X_B	Y_B
	0	0	10	0
	0.00995037	0.000995037	9.99	9.96028e-07
	0.0199007	0.00199007	9.98	2.99107e-06
	0.0298511	0.00298511	9.97	5.98813e-06
	0.0398015	0.00398015	9.96	9.99023e-06
	0.0497519	0.00497519	9.95	1.50004e-05
	0.0597022	0.00597022	9.94	2.10217e-05
	0.0696526	0.00696526	9.93	2.80571e-05
	0.079603	0.0079603	9.92	3.61098e-05
	0.0895533	0.00895533	9.91	4.51829e-05
	0.0995037	0.00995037	9.9	5.52794e-05
	0.109454	0.0109454	9.89	6.64025e-05
	0.119404	0.0119404	9.88	7.85553e-05
	0.129355	0.0129355	9.87	9.1741e-05
	0.139305	0.0139305	9.86	0.000105963
	0.149256	0.0149256	9.85	0.000121224
	0.159206	0.0159206	9.84	0.000137527
	0.169156	0.0169156	9.83	0.000154876
	0.179107	0.0179107	9.82	0.000173274
	0.189057	0.0189057	9.81	0.000192725
	0.199007	0.0199007	9.8	0.00021323
	0.208958	0.0208958	9.79	0.000234795
	0.218908	0.0218908	9.78	0.000257421
	0.228859	0.0228859	9.77	0.000281113
	0.238809	0.0238809	9.76	0.000305873
	0.248759	0.0248759	9.75	0.000331706
	0.25871	0.025871	9.74	0.000358614
	0.26866	0.026866	9.73	0.000386601
	0.27861	0.027861	9.72	0.00041567
	0.288561	0.0288561	9.71	0.000445825
	0.298511	0.0298511	9.7	0.000477069
	0.308462	0.0308462	9.69	0.000509405
	0.318412	0.0318412	9.68	0.000542838
	0.328362	0.0328362	9.67	0.00057737
	0.338313	0.0338313	9.66	0.000613005
	0.348263	0.0348263	9.65	0.000649747
	0.358213	0.0358213	9.64	0.000687599
	0.368164	0.0368164	9.63	0.000726565
	0.378114	0.0378114	9.62	0.000766648
	0.388065	0.0388065	9.61	0.000807852
	0.398015	0.0398015	9.6	0.000850181
	0.407965	0.0407965	9.59	0.000893638
	0.417916	0.0417916	9.58	0.000938227
	0.427866	0.0427866	9.57	0.000983952
	0.437816	0.0437816	9.56	0.00103082
	0.447767	0.0447767	9.55	0.00107882
	0.457717	0.0457717	9.54	0.00112798
	0.467667	0.0467667	9.53	0.00117828
	0.477618	0.0477618	9.52	0.00122974
	0.487568	0.0487568	9.51	0.00128236
	0.497519	0.0497519	9.5	0.00133614
	0.507469	0.0507469	9.49	0.00139108
	0.517419	0.0517419	9.48	0.0014472
	0.52737	0.052737	9.47	0.00150449
	0.53732	0.053732	9.46	0.00156296
	0.54727	0.054727	9.45	0.0016226
	0.557221	0.0557221	9.44	0.00168344
	0.567171	0.0567171	9.43	0.00174546
	0.577122	0.0577122	9.42	0.00180868
	0.587072	0.0587072	9.41	0.00187309
	0.597022	0.0597022	9.4	0.00193871
	0.606973	0.0606973	9.39	0.00200553
	0.616923	0.0616923	9.38	0.00207357
	0.626873	0.0626873	9.37	0.00214281
	0.636824	0.0636824	9.36001	0.00221328
	0.646774	0.0646774	9.35001	0.00228496
	0.656725	0.0656725	9.34001	0.00235788
	0.666675	0.0666675	9.33001	0.00243202
	0.676625	0.0676625	9.32001	0.0025074
	0.686576	0.0686576	9.31001	0.00258402
	0.696526	0.0696526	9.30001	0.00266188
	0.706476	0.0706476	9.29001	0.00274099
	0.716427	0.0716427	9.28001	0.00282136
	0.726377	0.0726377	9.27001	0.00290297
	0.736328	0.0736328	9.26001	0.00298586
	0.746278	0.0746278	9.25001	0.00307
	0.756228	0.0756228	9.24001	0.00315542
	0.766179	0.0766179	9.23001	0.00324211
	0.776129	0.0776129	9.22001	0.00333008
	0.786079	0.0786079	9.21001	0.00341933
	0.79603	0.079603	9.20001	0.00350987
	0.80598	0.080598	9.19001	0.0036017
	0.81593	0.081593	9.18001	0.00369483
	0.825881	0.0825881	9.17001	0.00378926
